Line        |       value       
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1           |       46235  
4           |       489       
5           |       45746       
7           |       46235       
8           |       45746       
9           |       489       
10          |       489       
12          |       0       
13          |       488300       
14          |       46235       
15          |       46235       
16          |       0       
17          |       0       
18          |       0.0       
19          |       489       
20          |       0       
21          |       0.0       
22          |       5194       
23          |       5194.0       
24          |       5254       
25          |       5254       
